# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov 29 14:25:17 2017
#
# CONSTRAINT:  where (pl_pnum = 4
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_massblend:   Stellar Mass Blend Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_radblend:    Stellar Radius Blend Flag
#
rowid,pl_hostname,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend
118,GJ 3293,4,30.59870000,0.00830000,-0.00840000,0,0.060000,0.040000,-0.040000,0,,,,,0.07406,0.00277,-0.00280,0,Msini,,,,,0.42,,,0,0,0.40,0.03,-0.03,0,0
119,GJ 3293,4,122.61960000,0.24290000,-0.23710000,0,0.110000,0.100000,-0.080000,0,,,,,0.06636,0.00390,-0.00396,0,Msini,,,,,0.42,,,0,0,0.40,0.03,-0.03,0,0
120,GJ 3293,4,48.13450000,0.06280000,-0.06610000,0,0.120000,0.130000,-0.090000,0,,,,,0.02391,0.00330,-0.00330,0,Msini,,,,,0.42,,,0,0,0.40,0.03,-0.03,0,0
121,GJ 3293,4,13.25430000,0.00780000,-0.01040000,0,0.210000,0.200000,-0.140000,0,,,,,0.01032,0.00201,-0.00201,0,Msini,,,,,0.42,,,0,0,0.40,0.03,-0.03,0,0
144,GJ 676 A,4,1051.10000000,0.40000000,-0.40000000,0,0.323000,0.002000,-0.002000,0,45.000,21.000,-11.000,0,6.70000,1.80000,-1.50000,0,Mass,,,,,0.71,0.04,-0.04,0,0,,,,,0
145,GJ 676 A,4,7337.00000000,95.00000000,-92.00000000,0,,,,,,,,,6.80000,0.10000,-0.10000,0,Msini,,,,,0.71,0.04,-0.04,0,0,,,,,0
146,GJ 676 A,4,3.60050000,0.00020000,-0.00020000,0,0.262000,0.090000,-0.101000,0,,,,,0.01400,0.00100,-0.00100,0,Msini,,,,,0.71,0.04,-0.04,0,0,,,,,0
147,GJ 676 A,4,35.39000000,0.03000000,-0.04000000,0,0.125000,0.119000,-0.087000,0,,,,,0.02500,0.00200,-0.00200,0,Msini,,,,,0.71,0.04,-0.04,0,0,,,,,0
153,GJ 876,4,61.11660000,0.00860000,-0.00860000,0,0.032400,0.001300,-0.001300,0,59.000,,,0,2.27560,0.00450,-0.00450,0,Mass,,,,,0.33,0.03,-0.03,0,0,,,,,0
154,GJ 876,4,30.08810000,0.00820000,-0.00820000,0,0.255910,0.000930,-0.000930,0,59.000,,,0,0.71420,0.00390,-0.00390,0,Mass,,,,,0.33,0.03,-0.03,0,0,,,,,0
155,GJ 876,4,1.93778000,0.00002000,-0.00002000,0,0.207000,0.055000,-0.055000,0,59.000,,,0,0.02100,0.00100,-0.00100,0,Mass,,,,,0.33,0.03,-0.03,0,0,,,,,0
156,GJ 876,4,124.26000000,0.70000000,-0.70000000,0,0.055000,0.012000,-0.012000,0,59.000,,,0,0.04600,0.00500,-0.00500,0,Mass,,,,,0.33,0.03,-0.03,0,0,,,,,0
345,HD 141399,4,94.44000000,0.05000000,-0.05000000,0,0.040000,0.020000,-0.020000,0,,,,,0.45100,0.03000,-0.03000,0,Msini,,,,,1.07,0.08,-0.08,0,0,,,,,0
346,HD 141399,4,201.99000000,0.08000000,-0.08000000,0,0.048000,0.009000,-0.009000,0,,,,,1.33000,0.08000,-0.08000,0,Msini,,,,,1.07,0.08,-0.08,0,0,,,,,0
347,HD 141399,4,1069.80000000,6.70000000,-6.70000000,0,0.074000,0.025000,-0.025000,0,,,,,1.18000,0.08000,-0.08000,0,Msini,,,,,1.07,0.08,-0.08,0,0,,,,,0
348,HD 141399,4,5000.00000000,560.00000000,-2000.00000000,0,0.260000,0.220000,-0.220000,0,,,,,0.66000,0.10000,-0.10000,0,Msini,,,,,1.07,0.08,-0.08,0,0,,,,,0
394,HD 160691,4,643.25000000,0.90000000,-0.90000000,0,0.128000,0.017000,-0.017000,0,,,,,1.08000,,,0,Msini,,,,,1.08,0.05,-0.05,0,0,,,,,0
395,HD 160691,4,4205.80000000,758.90000000,-758.90000000,0,0.098500,0.062700,-0.062700,0,,,,,1.81400,,,0,Msini,,,,,1.08,0.05,-0.05,0,0,,,,,0
396,HD 160691,4,9.63860000,0.00150000,-0.00150000,0,0.172000,0.040000,-0.040000,0,,,,,0.03321,,,0,Msini,,,,,1.08,0.05,-0.05,0,0,,,,,0
