# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Wed Nov 29 14:25:17 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (pl_pnum = 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincl:     Inclination [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincllim:  Inclination Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_massblend:   Stellar Mass Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radblend:    Stellar Radius Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rowid,pl_hostname,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,pl_ecos_omegabar,pl_ecos_omegabarerr1,pl_ecos_omegabarerr2,pl_esin_omegabar,pl_esin_omegabarerr1,pl_esin_omegabarerr2,notes
118,GJ 3293,4,30.5987,0.0083,-0.0084,0,0.06,0.04,-0.04,0,,,,,0.07406,0.00277,-0.0028,0,Msini,,,,,0.42,,,0,0,0.4,0.03,-0.03,0,0,,,,,,,None
119,GJ 3293,4,122.6196,0.2429,-0.2371,0,0.11,0.1,-0.08,0,,,,,0.06636,0.0039,-0.00396,0,Msini,,,,,0.42,,,0,0,0.4,0.03,-0.03,0,0,,,,,,,None
120,GJ 3293,4,48.1345,0.0628,-0.0661,0,0.12,0.13,-0.09,0,,,,,0.02391,0.0033,-0.0033,0,Msini,,,,,0.42,,,0,0,0.4,0.03,-0.03,0,0,,,,,,,None
121,GJ 3293,4,13.2543,0.0078,-0.0104,0,0.21,0.2,-0.14,0,,,,,0.01032,0.00201,-0.00201,0,Msini,,,,,0.42,,,0,0,0.4,0.03,-0.03,0,0,,,,,,,None
144,GJ 676 A,4,1051.1,0.4,-0.4,0,0.323,0.002,-0.002,0,45,21,-11,0,6.7,1.8,-1.5,0,Mass,,,,,0.71,0.04,-0.04,0,0,,,,,0,,,,,,,None
145,GJ 676 A,4,7337,95,-92,0,,,,,,,,,6.8,0.1,-0.1,0,Msini,,,,,0.71,0.04,-0.04,0,0,,,,,0,,,,,,,None
146,GJ 676 A,4,3.6005,0.0002,-0.0002,0,0.262,0.09,-0.101,0,,,,,0.014,0.001,-0.001,0,Msini,,,,,0.71,0.04,-0.04,0,0,,,,,0,,,,,,,None
147,GJ 676 A,4,35.39,0.03,-0.04,0,0.125,0.119,-0.087,0,,,,,0.025,0.002,-0.002,0,Msini,,,,,0.71,0.04,-0.04,0,0,,,,,0,,,,,,,None
153,GJ 876,4,61.1166,0.0086,-0.0086,0,0.0324,0.0013,-0.0013,0,59,,,0,2.2756,0.0045,-0.0045,0,Mass,,,,,0.33,0.03,-0.03,0,0,,,,,0,,,,,,,None
154,GJ 876,4,30.0881,0.0082,-0.0082,0,0.25591,0.00093,-0.00093,0,59,,,0,0.7142,0.0039,-0.0039,0,Mass,,,,,0.33,0.03,-0.03,0,0,,,,,0,,,,,,,None
155,GJ 876,4,1.93778,0.00002,-0.00002,0,0.207,0.055,-0.055,0,59,,,0,0.021,0.001,-0.001,0,Mass,,,,,0.33,0.03,-0.03,0,0,,,,,0,,,,,,,None
156,GJ 876,4,124.26,0.7,-0.7,0,0.055,0.012,-0.012,0,59,,,0,0.046,0.005,-0.005,0,Mass,,,,,0.33,0.03,-0.03,0,0,,,,,0,,,,,,,None
345,HD 141399,4,94.44,0.05,-0.05,0,0.04,0.02,-0.02,0,,,,,0.451,0.03,-0.03,0,Msini,,,,,1.07,0.08,-0.08,0,0,,,,,0,,,,,,,None
346,HD 141399,4,201.99,0.08,-0.08,0,0.048,0.009,-0.009,0,,,,,1.33,0.08,-0.08,0,Msini,,,,,1.07,0.08,-0.08,0,0,,,,,0,,,,,,,None
347,HD 141399,4,1069.8,6.7,-6.7,0,0.074,0.025,-0.025,0,,,,,1.18,0.08,-0.08,0,Msini,,,,,1.07,0.08,-0.08,0,0,,,,,0,,,,,,,None
348,HD 141399,4,5000,560,-2000,0,0.26,0.22,-0.22,0,,,,,0.66,0.1,-0.1,0,Msini,,,,,1.07,0.08,-0.08,0,0,,,,,0,,,,,,,None
394,HD 160691,4,643.25,0.9,-0.9,0,0.128,0.017,-0.017,0,,,,,1.08,,,0,Msini,,,,,1.08,0.05,-0.05,0,0,,,,,0,,,,,,,None
395,HD 160691,4,4205.8,758.9,-758.9,0,0.0985,0.0627,-0.0627,0,,,,,1.814,,,0,Msini,,,,,1.08,0.05,-0.05,0,0,,,,,0,,,,,,,None
396,HD 160691,4,9.6386,0.0015,-0.0015,0,0.172,0.04,-0.04,0,,,,,0.03321,,,0,Msini,,,,,1.08,0.05,-0.05,0,0,,,,,0,,,,,,,None
397,HD 160691,4,310.55,0.83,-0.83,0,0.0666,0.0122,-0.0122,0,,,,,0.5219,,,0,Msini,,,,,1.08,0.05,-0.05,0,0,,,,,0,,,,,,,None
480,HD 20794,4,18.315,0.008,-0.008,0,0,,,0,90,,,0,0.0085,0.0009,-0.0009,0,Msin(i)/sin(i),,,,,0.7,,,0,0,,,,,0,,,,,,,None
481,HD 20794,4,40.114,0.053,-0.053,0,0,,,0,90,,,0,0.0076,0.0013,-0.0013,0,Msin(i)/sin(i),,,,,0.7,,,0,0,,,,,0,,,,,,,None
482,HD 20794,4,90.309,0.184,-0.184,0,0,,,0,90,,,0,0.015,0.002,-0.002,0,Msin(i)/sin(i),,,,,0.7,,,0,0,,,,,0,,,,,,,None
483,HD 20794,4,147.02,1.43,-0.91,0,0.29,0.14,-0.18,0,,,,,0.01501,0.00302,-0.00271,0,Msini,,,,,0.7,,,0,0,,,,,0,,,,,,,None
745,HR 8799,4,170000,,,0,,,,,,,,,7,4,-2,0,Mass,1.2,0.1,-0.1,0,1.51,0.04,-0.02,0,0,,,,,0,,,,,,,None
746,HR 8799,4,69000,,,0,,,,,,,,,10,3,-3,0,Mass,1.2,0.1,0,0,1.51,0.04,-0.02,0,0,,,,,0,,,,,,,None
747,HR 8799,4,37000,,,0,,,,,,,,,10,3,-3,0,Mass,1.2,0.1,0,0,1.51,0.04,-0.02,0,0,,,,,0,,,,,,,None
748,HR 8799,4,18000,,,0,,,,,,,,,,,,,,,,,,1.51,0.04,-0.02,0,0,,,,,0,,,,,,,None
868,K2-72,4,5.57739,0.00068,-0.00068,0,,,,,,,,,,,,,,0.067,0.018,-0.018,0,0.22,0.08,-0.08,0,0,0.23,0.06,-0.06,0,0,,,,,,,None
869,K2-72,4,15.1871,0.0032,-0.0032,0,,,,,,,,,,,,,,0.077,0.02,-0.02,0,0.22,0.08,-0.08,0,0,0.23,0.06,-0.06,0,0,,,,,,,None
870,K2-72,4,7.7599,0.0014,-0.0014,0,,,,,,,,,,,,,,0.065,0.018,-0.018,0,0.22,0.08,-0.08,0,0,0.23,0.06,-0.06,0,0,,,,,,,None
871,K2-72,4,24.1669,0.0057,-0.0057,0,,,,,,,,,,,,,,0.073,0.02,-0.02,0,0.22,0.08,-0.08,0,0,0.23,0.06,-0.06,0,0,,,,,,,None
